Date,Open
01-01-2020,1790.2
02-01-2020,1791.0
03-01-2020,1779.8
06-01-2020,1737.95
07-01-2020,1711.0
08-01-2020,1696.0
09-01-2020,1763.0
10-01-2020,1772.0
13-01-2020,1799.0
14-01-2020,1805.0
15-01-2020,1817.5
16-01-2020,1835.95
17-01-2020,1835.6
20-01-2020,1838.0
21-01-2020,1839.95
22-01-2020,1815.0
23-01-2020,1779.0
24-01-2020,1783.65
27-01-2020,1787.0
28-01-2020,1794.0
29-01-2020,1787.0
30-01-2020,1800.0
31-01-2020,1810.0
01-02-2020,1802.0
03-02-2020,1768.8
04-02-2020,1870.0
05-02-2020,1889.0
06-02-2020,1878.0
07-02-2020,1856.8
10-02-2020,1867.0
11-02-2020,1880.0
12-02-2020,1880.0
13-02-2020,1889.0
14-02-2020,1876.5
17-02-2020,1879.9
18-02-2020,1879.9
19-02-2020,1870.1
20-02-2020,1883.0
24-02-2020,1845.25
25-02-2020,1838.4
26-02-2020,1826.0
27-02-2020,1829.85
28-02-2020,1820.0
02-03-2020,1815.1
03-03-2020,1780.05
04-03-2020,1804.05
05-03-2020,1854.0
06-03-2020,1840.0
09-03-2020,1888.0
11-03-2020,1874.95
12-03-2020,1864.95
13-03-2020,1785.0
16-03-2020,1777.0
17-03-2020,1699.0
18-03-2020,1732.0
19-03-2020,1540.0
20-03-2020,1610.0
23-03-2020,1578.6
24-03-2020,1556.55
25-03-2020,1446.55
26-03-2020,1605.0
27-03-2020,1664.8
30-03-2020,1591.15
31-03-2020,1625.0
01-04-2020,1650.05
03-04-2020,1615.1
07-04-2020,1540.0
08-04-2020,1623.8
09-04-2020,1640.0
13-04-2020,1646.0
15-04-2020,1703.65
16-04-2020,1691.0
17-04-2020,1763.0
20-04-2020,1758.25
21-04-2020,1710.0
22-04-2020,1717.1
23-04-2020,1807.0
24-04-2020,1815.05
27-04-2020,1840.0
28-04-2020,1847.2
29-04-2020,1846.9
30-04-2020,1795.0
04-05-2020,1718.0
05-05-2020,1681.0
06-05-2020,1615.0
07-05-2020,1609.95
08-05-2020,1611.8
11-05-2020,1583.0
12-05-2020,1539.0
13-05-2020,1579.8
14-05-2020,1553.3
15-05-2020,1529.0
18-05-2020,1558.0
19-05-2020,1510.0
20-05-2020,1503.95
21-05-2020,1503.0
22-05-2020,1568.8
26-05-2020,1625.0
27-05-2020,1631.0
28-05-2020,1622.0
29-05-2020,1639.0
01-06-2020,1706.5
02-06-2020,1693.25
03-06-2020,1724.0
04-06-2020,1716.45
05-06-2020,1650.0
08-06-2020,1657.0
09-06-2020,1640.0
10-06-2020,1648.0
11-06-2020,1635.95
12-06-2020,1580.0
15-06-2020,1629.0
16-06-2020,1639.0
17-06-2020,1607.55
18-06-2020,1595.4
19-06-2020,1597.8
22-06-2020,1633.0
23-06-2020,1659.85
24-06-2020,1684.0
25-06-2020,1740.0
26-06-2020,1710.0
29-06-2020,1687.0
30-06-2020,1708.9
01-07-2020,1698.0
02-07-2020,1700.0
03-07-2020,1695.4
06-07-2020,1708.95
07-07-2020,1708.95
08-07-2020,1750.0
09-07-2020,1694.0
10-07-2020,1707.95
13-07-2020,1708.0
14-07-2020,1705.65
15-07-2020,1700.0
16-07-2020,1679.8
17-07-2020,1695.0
20-07-2020,1727.0
21-07-2020,1761.0
22-07-2020,1724.25
23-07-2020,1690.0
24-07-2020,1724.0
27-07-2020,1717.2
28-07-2020,1779.0
29-07-2020,1770.0
30-07-2020,1752.0
31-07-2020,1754.0
03-08-2020,1729.0
04-08-2020,1719.0
05-08-2020,1718.0
06-08-2020,1732.05
07-08-2020,1727.55
10-08-2020,1810.0
11-08-2020,1800.0
12-08-2020,1789.95
13-08-2020,1806.4
14-08-2020,1818.7
17-08-2020,1820.0
18-08-2020,1831.0
19-08-2020,1890.0
20-08-2020,1867.95
21-08-2020,1887.9
24-08-2020,1958.0
25-08-2020,1964.25
26-08-2020,2000.95
27-08-2020,1980.9
28-08-2020,1994.0
31-08-2020,1977.0
01-09-2020,1925.0
02-09-2020,1977.95
03-09-2020,1950.2
04-09-2020,1958.0
07-09-2020,1965.0
08-09-2020,1987.5
09-09-2020,1960.35
10-09-2020,1985.05
11-09-2020,2063.0
14-09-2020,2050.0
15-09-2020,2045.0
16-09-2020,2027.0
17-09-2020,2000.0
18-09-2020,2026.3
21-09-2020,2036.4
22-09-2020,1990.2
23-09-2020,1940.0
24-09-2020,1941.55
25-09-2020,1925.25
28-09-2020,1938.0
29-09-2020,1960.0
30-09-2020,1966.1
01-10-2020,2007.0
05-10-2020,2040.45
06-10-2020,2050.0
07-10-2020,2080.0
08-10-2020,2104.5
09-10-2020,2094.0
12-10-2020,2067.9
13-10-2020,2077.0
14-10-2020,2070.0
15-10-2020,2070.0
16-10-2020,2089.95
19-10-2020,2079.95
20-10-2020,2077.9
21-10-2020,2130.0
22-10-2020,2114.2
23-10-2020,2113.5
26-10-2020,2116.35
27-10-2020,2085.0
28-10-2020,2199.8
29-10-2020,2162.0
30-10-2020,2210.1
02-11-2020,2198.0
03-11-2020,2193.9
04-11-2020,2160.0
05-11-2020,2190.0
06-11-2020,2233.95
09-11-2020,2249.0
